;Release

N=9000 M=256
Pool   Time : 0.002649
Malloc Time : 0.003847

N=9000 M=504
Pool   Time : 0.005348
Malloc Time : 0.005704

N=9000 M=512
Pool   Time : 0.014309
Malloc Time : 0.006709

N=9000 M=1016
Pool   Time : 0.014452
Malloc Time : 0.010980

N=9000 M=1024
Pool   Time : 0.044515
Malloc Time : 0.010967


N=10000 M=16
Pool   Time : 0.000562
Malloc Time : 0.001849

N=10000 M=16
Pool   Time : 0.000547
Malloc Time : 0.001824

N=10000 M=32
Pool   Time : 0.000680
Malloc Time : 0.002158

N=10000 M=64
Pool   Time : 0.001065
Malloc Time : 0.002364

N=10000 M=128
Pool   Time : 0.001643
Malloc Time : 0.003157

N=10000 M=256
Pool   Time : 0.002932
Malloc Time : 0.004572

N=10000 M=375
Pool   Time : 0.006178
Malloc Time : 0.005237

N=10000 M=504
Pool   Time : 0.006004
Malloc Time : 0.006747

N=90000 M=8
Pool   Time : 0.004030
Malloc Time : 0.013717

N=90000 M=64
Pool   Time : 0.010498
Malloc Time : 0.022651

N=90000 M=375
Pool   Time : 0.241770
Malloc Time : 0.052882

N=90000 M=500
Pool   Time : 0.249433
Malloc Time : 0.114241




===

Debug
N       M       Pool    Malloc
1000    8       0.0001  0.0004
1000    16      0.0001  0.0004
1000    32      0.0034  0.0005
1000    64      0.0062  0.0005
1000    128     0.0144  0.0006
1000    256     0.0348  0.0007
1000    512     0.1837  0.0009
1000    1024    0.3178  0.0018
1000    2048    0.5339  0.0022
6000    8       0.0071  0.0024
6000    16      0.0149  0.0025
6000    32      0.0311  0.0025
6000    64      0.0745  0.0025
6000    128     0.1382  0.0031
6000    256     0.2437  0.0037
6000    512     1.0360  0.0048
6000    1024    2.0240  0.0074
6000    2048    3.0484  0.0150
11000   8       0.0085  0.0044
11000   16      0.0142  0.0043
11000   32      0.0294  0.0045
11000   64      0.0603  0.0047
11000   128     0.1164  0.0068
11000   256     0.2384  0.0062
11000   512     0.7944  0.0088
11000   1024    3.0253  0.0142
11000   2048    7.3197  0.0263
16000   8       0.0131  0.0063
16000   16      0.0469  0.0060
16000   32      0.0846  0.0063
16000   64      0.1728  0.0066
16000   128     0.3363  0.0075
16000   256     0.6683  0.0090
16000   512     2.6338  0.0123
16000   1024    4.6876  0.0741
16000   2048    10.2856 0.0960

==
Release
N       M       Pool    Malloc
1000    8       0.0001  0.0001
1000    16      0.0000  0.0001
1000    32      0.0001  0.0001
1000    64      0.0001  0.0002
1000    128     0.0001  0.0003
1000    256     0.0002  0.0004
1000    512     0.0008  0.0005
1000    1024    0.0018  0.0008
1000    2048    0.0035  0.0013
6000    8       0.0001  0.0005
6000    16      0.0002  0.0006
6000    32      0.0003  0.0007
6000    64      0.0004  0.0008
6000    128     0.0007  0.0012
6000    256     0.0016  0.0017
6000    512     0.0076  0.0027
6000    1024    0.0217  0.0041
6000    2048    0.0691  0.0092
11000   8       0.0003  0.0015
11000   16      0.0003  0.0013
11000   32      0.0005  0.0014
11000   64      0.0008  0.0016
11000   128     0.0014  0.0019
11000   256     0.0027  0.0027
11000   512     0.0234  0.0044
11000   1024    0.0617  0.0093
11000   2048    0.2199  0.0178
16000   8       0.0004  0.0015
16000   16      0.0005  0.0018
16000   32      0.0007  0.0019
16000   64      0.0010  0.0022
16000   128     0.0021  0.0028
16000   256     0.0044  0.0038
16000   512     0.0357  0.0066
16000   1024    0.1234  0.0126
16000   2048    0.4423  0.0234


N       M       Pool    Malloc
1000    8       0.0000  0.0001
1000    16      0.0000  0.0000
1000    32      0.0001  0.0001
1000    64      0.0001  0.0001
1000    128     0.0001  0.0001
1000    256     0.0002  0.0001
1000    512     0.0007  0.0002
1000    1024    0.0014  0.0006
1000    2048    0.0021  0.0013
6000    8       0.0002  0.0002
6000    16      0.0002  0.0001
6000    32      0.0003  0.0003
6000    64      0.0004  0.0004
6000    128     0.0006  0.0006
6000    256     0.0011  0.0011
6000    512     0.0043  0.0022
6000    1024    0.0111  0.0043
6000    2048    0.0167  0.0088
11000   8       0.0004  0.0004
11000   16      0.0004  0.0003
11000   32      0.0005  0.0006
11000   64      0.0008  0.0007
11000   128     0.0012  0.0012
11000   256     0.0021  0.0024
11000   512     0.0078  0.0042
11000   1024    0.0180  0.0083
11000   2048    0.0305  0.0167
16000   8       0.0005  0.0006
16000   16      0.0006  0.0004
16000   32      0.0008  0.0009
16000   64      0.0011  0.0011
16000   128     0.0019  0.0019
16000   256     0.0032  0.0036
16000   512     0.0116  0.0064
16000   1024    0.0229  0.0125
16000   2048    0.0436  0.0253
